,full_name,selling_price,year,km_driven,mileage,engine,max_power,seats,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Manual,company
115,Hyundai i20 Magna,280000,2012,49566,18.5,1197,82.85,5,0,0,0,0,0,1,1,Hyundai
116,Hyundai Verna CRDi 1.6 AT SX Option,1250000,2018,14000,22,1582,126.2,5,0,0,1,0,0,0,0,Hyundai
117,Hyundai i20 2015-2017 Sportz 1.2,590000,2016,11000,18.6,1197,81.83,5,0,0,0,0,0,1,1,Hyundai
118,Maruti Celerio VXI AMT BSIV,475000,2018,5000,23.1,998,67.04,5,1,0,0,0,0,1,0,Maruti
119,Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,685000,2017,55000,23,1498,98.96,5,0,0,1,0,0,0,1,Ford
120,Hyundai Verna SX CRDi AT,380000,2012,65000,19.08,1582,126.32,5,0,0,1,0,0,0,0,Hyundai
121,Renault KWID 1.0 RXT Optional,330000,2018,22000,23.01,999,67,5,1,0,0,0,0,1,1,Renault
122,Maruti Baleno Delta,650000,2018,7671,21.01,1197,81.8,5,0,1,0,0,0,1,1,Maruti
123,Maruti Wagon R LXI,325000,2016,66000,20.51,998,67.04,5,1,0,0,0,0,1,1,Maruti
124,Maruti Swift Dzire AMT VXI,640000,2018,45156,21.21,1197,81.8,5,0,0,0,0,0,1,0,Maruti
125,Hyundai Venue SX Opt Turbo BSIV,949000,2019,25000,18.27,998,118.35,5,1,0,0,0,0,1,1,Hyundai
126,Nissan Terrano XL Plus 85 PS,750000,2015,70000,20.45,1461,83.8,5,1,0,1,0,0,0,1,Nissan
127,Hyundai Verna 1.6 CRDi SX,660000,2015,120000,23.9,1582,126.2,5,1,0,1,0,0,0,1,Hyundai
128,Maruti Swift VXi BSIV,434999,2014,28000,16.1,1197,85,5,0,0,0,0,0,1,1,Maruti
129,Hyundai i20 Sportz 1.4 CRDi,385000,2013,55000,21.9,1396,88.76,5,0,0,1,0,0,0,1,Hyundai
130,Hyundai Santa Fe 4X2,1000000,2011,104000,14.66,2199,194.3,7,1,0,1,0,0,0,1,Hyundai
131,Hyundai Verna CRDi 1.6 AT SX Option,1250000,2019,14000,22,1582,126.2,5,0,0,1,0,0,0,0,Hyundai
132,Hyundai Xcent 1.2 VTVT SX,550000,2017,18000,20.14,1197,81.86,5,1,0,0,0,0,1,1,Hyundai
133,Maruti Wagon R LX BS IV,155000,2009,98780,18.9,998,67.1,5,0,0,0,0,0,1,1,Maruti
134,Maruti Swift VDI BSIV,415000,2015,58000,25.2,1248,74,5,0,0,1,0,0,0,1,Maruti
135,Maruti Alto K10 2010-2014 VXI,250999,2011,30000,20.92,998,67.1,5,1,0,0,0,0,1,1,Maruti
136,Mahindra Scorpio S10 7 Seater,1150000,2016,46400,15.4,2179,120,7,0,0,1,0,0,0,1,Mahindra
137,Hyundai i10 Magna 1.1L,310000,2014,32111,19.81,1086,68.05,5,0,1,0,0,0,1,1,Hyundai
138,Datsun GO Plus T BSIV,350000,2015,35000,19.44,1198,67,7,1,0,0,0,0,1,1,Datsun
139,Mahindra Scorpio 1.99 S6 Plus,1125000,2017,30000,15.4,1997,120,7,0,0,1,0,0,0,1,Mahindra
140,BMW 5 Series 530d M Sport,2600000,2016,63000,18.59,2993,261.49,5,0,0,1,0,0,0,0,BMW
141,Chevrolet Beat LT,200000,2017,43890,17.8,1199,76.8,5,1,0,0,0,0,1,1,Chevrolet
142,Datsun GO Plus Anniversary Edition,480000,2018,10000,20.62,1198,67,7,1,0,0,0,0,1,1,Datsun
143,Maruti Swift Dzire AMT ZDI Plus,850000,2017,25000,28.4,1248,74.02,5,1,0,1,0,0,0,0,Maruti
144,Hyundai Creta 1.6 CRDi AT SX Plus,1100000,2017,102000,17.01,1582,126.2,5,0,0,1,0,0,0,0,Hyundai
145,Maruti Swift VXI 2018,575000,2018,35000,22,1197,81.8,5,0,0,0,0,0,1,1,Maruti
146,Hyundai Santro LP,160000,2007,54000,19.63826453,999,74.34109969,5,1,0,0,0,0,1,1,Hyundai
147,Maruti Swift Dzire VXi,340000,2012,49948,17.5,1298,85.8,5,0,0,0,0,0,1,1,Maruti
148,Tata Indigo eLX BS IV,559000,2018,114851,25,1396,69.01,5,1,0,1,0,0,0,1,Tata
149,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,925000,2018,55000,23,1498,98.96,5,1,0,1,0,0,0,1,Ford
150,Hyundai Grand i10 Magna,400000,2015,36000,18.9,1197,82,5,0,0,0,0,0,1,1,Hyundai
151,Hyundai Xcent 1.2 CRDi S,560000,2019,35000,25.4,1186,73.97,5,1,0,1,0,0,0,1,Hyundai
152,Honda City i VTEC VX Option,725000,2016,49625,17.8,1497,117.3,5,0,0,0,0,0,1,1,Honda
153,Maruti Swift Dzire ZDI,600000,2014,35000,23.4,1248,74,5,1,0,1,0,0,0,1,Maruti
154,Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,550000,2013,95000,12.05,2179,120,8,1,0,1,0,0,0,1,Mahindra
155,Ford Aspire 1.5 TDCi Titanium,585000,2017,36000,25.83,1498,99,5,0,0,1,0,0,0,1,Ford
156,Maruti Wagon R VXI,411000,2019,50000,21.79,998,67.05,5,1,0,0,0,0,1,1,Maruti
157,Maruti Swift Dzire VXI,450000,2015,26500,20.85,1197,83.14,5,1,0,0,0,0,1,1,Maruti
158,Honda CR-V 2.0L 2WD AT,1290000,2015,80000,13.7,1997,153.86,5,0,0,0,0,0,1,0,Honda
159,Volkswagen Polo 1.2 MPI Highline,455000,2015,46000,16.47,1198,74,5,0,0,0,0,0,1,1,Volkswagen
160,Hyundai Grand i10 Nios Asta,710000,2019,9000,20.7,1197,81.86,5,1,0,0,0,0,1,1,Hyundai
161,Mahindra TUV 300 T4,450000,2016,70000,18.49,1493,100,7,1,0,1,0,0,0,1,Mahindra
162,Toyota Etios Liva 1.2 VX,465000,2015,33000,17.71,1197,78.9,5,0,0,0,0,0,1,1,Toyota
163,Honda City V MT,770000,2016,53000,16.8,1497,116.3,5,0,0,0,0,0,1,1,Honda
164,Tata Indigo LS (TDI) BS-III,320000,2015,50000,19.09,1405,69.01,5,1,0,1,0,0,0,1,Tata
165,Tata Indigo LX (TDI) BS-III,325000,2015,50000,19.09,1405,69.01,5,1,0,1,0,0,0,1,Tata
166,Ford Endeavour 3.2 Titanium AT 4X4,2900000,2018,11387,10.91,3198,197,7,1,0,1,0,0,0,0,Ford
167,Honda Amaze VX i-DTEC,720000,2018,50000,25.8,1498,98.6,5,1,0,1,0,0,0,1,Honda
168,Mahindra KUV 100 mFALCON D75 K6 5str,375000,2016,52000,25.32,1198,77,5,0,0,1,0,0,0,1,Mahindra
169,Chevrolet Aveo 1.4 LT ABS BSIV,145000,2010,60000,14.49,1399,92.7,5,1,0,0,0,0,1,1,Chevrolet
170,Datsun GO Plus T BSIV,400000,2015,35000,19.44,1198,67,7,1,0,0,0,0,1,1,Datsun
171,Renault Duster 85PS Diesel RxL Plus,600000,2015,48000,19.87,1461,83.8,5,1,0,1,0,0,0,1,Renault
172,Honda Jazz 1.2 V i VTEC,600000,2018,18000,18.7,1199,88.7,5,1,0,0,0,0,1,1,Honda
173,Maruti Wagon R LXI DUO,270000,2012,57413,14.4,998,61.7,5,1,0,0,0,1,0,1,Maruti
174,Hyundai i20 Magna 1.2,500000,2015,30000,18.6,1197,81.83,5,1,0,0,0,0,1,1,Hyundai
175,Hyundai Verna 1.6 CRDi SX,650000,2015,55000,23.9,1582,126.2,5,0,0,1,0,0,0,1,Hyundai
176,Chevrolet Sail 1.2 LS ABS,380000,2015,120000,18.2,1199,82.4,5,1,0,0,0,0,1,1,Chevrolet
177,Mitsubishi Pajero Sport 4X4,728000,2012,165000,13.5,2477,175.56,7,1,0,1,0,0,0,1,Mitsubishi
178,Maruti Swift AMT ZXI,660000,2018,10000,21.21,1197,81.8,5,1,0,0,0,0,1,0,Maruti
179,Tata Indica Vista Aura 1.3 Quadrajet,180000,2010,120000,18,1248,75,5,1,0,1,0,0,0,1,Tata
180,BMW 3 Series 320d Luxury Line,2089999,2016,68000,22.69,1995,190,5,0,0,1,0,0,0,0,BMW
181,Chevrolet Beat Diesel LS,250000,2015,55000,25.44,936,56.3,5,0,0,1,0,0,0,1,Chevrolet
182,Kia Seltos HTK Plus G,1275000,2020,8000,16.8,1497,113.4,5,0,0,0,0,0,1,1,Kia
183,Toyota Corolla Altis G,455000,2012,80000,14.53,1798,138.1,5,0,0,0,0,0,1,1,Toyota
184,Maruti Swift VDI,495000,2015,65000,28.4,1248,74,5,0,0,1,0,0,0,1,Maruti
185,Maruti Ritz VXI,220000,2010,47000,21.1,1197,85.8,5,1,0,0,0,0,1,1,Maruti
186,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,800000,2018,185000,25.1,1248,88.5,5,1,0,1,0,0,0,1,Maruti
187,Hyundai Santa Fe 2WD AT,1295000,2014,68000,13.01,2199,194.3,7,0,0,1,0,0,0,0,Hyundai
188,Hyundai Grand i10 Sportz,475000,2016,25000,18.9,1197,82,5,1,0,0,0,0,1,1,Hyundai
189,Tata Sumo Gold EX,380000,2014,280000,15.3,2956,83.83,7,1,0,1,0,0,0,1,Tata
190,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,900000,2018,7791,25.1,1248,88.5,5,1,0,1,0,0,0,1,Maruti
191,Maruti Ciaz VXi Plus,530000,2015,70000,20.73,1373,91.1,5,1,0,0,0,0,1,1,Maruti
192,Tata Tiago 1.2 Revotron XZ,530000,2016,9500,23.84,1199,84,5,1,0,0,0,0,1,1,Tata
193,Hyundai Verna 1.6 VTVT S,650000,2015,9100,17.01,1591,121.3,5,1,0,0,0,0,1,1,Hyundai
194,Honda New Accord 2008-2011 2.4 MT,495000,2010,82000,12.8,2354,177.6,5,0,0,0,0,0,1,1,Honda
195,Honda City 1.5 S MT,335000,2010,86000,17,1497,118,5,0,0,0,0,0,1,1,Honda
196,Audi Q5 40 TDI Technology,4675000,2020,19000,17.01,1968,188,5,0,0,1,0,0,0,0,Audi
197,Audi A4 2.0 TDI,1290000,2013,78000,16.55,1968,147.51,5,0,0,1,0,0,0,0,Audi
198,Ford Figo Diesel Titanium,300000,2011,60000,20,1399,68,5,1,0,1,0,0,0,1,Ford
199,Maruti Wagon R ZXI AMT 1.2BSIV,550000,2019,7883,21.5,1197,81.8,5,0,1,0,0,0,1,0,Maruti
200,Maruti Swift Dzire LDI,390000,2013,50205,23.4,1248,74,5,0,1,1,0,0,0,1,Maruti
201,Mahindra Bolero DI AC BSIII,260000,2008,220000,13.6,2523,63,7,1,0,1,0,0,0,1,Mahindra
202,Tata Tigor 1.05 Revotorq XT,395000,2017,58000,24.7,1047,69,5,0,0,1,0,0,0,1,Tata
203,Mahindra Scorpio SLE BSIII,550000,2012,170000,12.05,2179,120,8,1,0,1,0,0,0,1,Mahindra
204,Maruti Swift Dzire VXI 1.2 BS IV,650000,2018,15000,22,1197,81.8,5,1,0,0,0,0,1,1,Maruti
205,Maruti Swift DDiS LDI,375000,2016,71245,28.4,1248,74,5,0,0,1,0,0,0,1,Maruti
206,Tata Manza ELAN Quadrajet BS IV,300000,2012,20000,21.12,1248,88.8,5,1,0,1,0,0,0,1,Tata
207,Toyota Etios VX,450000,2016,52000,16.78,1496,88.73,5,0,0,0,0,0,1,1,Toyota
208,Honda Brio S MT,335000,2015,61000,19.4,1198,86.8,5,1,0,0,0,0,1,1,Honda
209,Kia Seltos GTK,1300000,2019,7000,16.1,1353,138,5,1,0,0,0,0,1,1,Kia
210,Maruti Alto K10 VXI,360000,2018,20000,23.95,998,67.05,5,1,0,0,0,0,1,1,Maruti
211,Maruti Celerio ZXI,505000,2020,8700,21.63,998,67.04,5,1,0,0,0,0,1,1,Maruti
212,Maruti Alto 800 LXI,310000,2019,25000,24.7,796,47.3,5,1,0,0,0,0,1,1,Maruti
213,Hyundai i20 Asta Option BSIV,545000,2015,42000,18.6,1197,81.86,5,0,0,0,0,0,1,1,Hyundai
214,Mahindra Xylo E4,300000,2009,120000,14,2498,112,7,1,0,1,0,0,0,1,Mahindra
215,Chevrolet Aveo 1.4 LS Limited Edition,200000,2009,60000,14.4,1399,94,5,1,0,0,0,0,1,1,Chevrolet
216,Mahindra Bolero DI,150000,2006,120000,13.6,2523,63,7,1,0,1,0,0,0,1,Mahindra
217,Maruti Baleno Delta 1.2,580000,2018,50000,21.4,1197,83.1,5,1,0,0,0,0,1,1,Maruti
218,Maruti Wagon R VXI BS IV,250000,2011,58000,18.9,998,67.1,5,1,0,0,0,0,1,1,Maruti
219,Hyundai Verna 1.4 VTVT,650000,2017,36000,17.43,1396,105.5,5,1,0,0,0,0,1,1,Hyundai
220,Maruti SX4 S Cross DDiS 200 Zeta,800000,2016,80000,23.65,1248,88.5,5,1,0,1,0,0,0,1,Maruti
221,Audi Q3 2.0 TDI Quattro Premium Plus,1475000,2013,71000,15.73,1968,174.33,5,0,0,1,0,0,0,0,Audi
222,Maruti Ertiga VDI,409999,2018,30000,25.47,1248,88.5,7,1,0,1,0,0,0,1,Maruti
223,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,531000,2015,162828,22.77,1498,98.59,5,0,0,1,0,0,0,1,Ford
224,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,890000,2018,7500,23,1498,98.96,5,1,0,1,0,0,0,1,Ford
225,Tata Safari Storme EX,775000,2016,47227,14,2179,138.1,7,0,0,1,0,0,0,1,Tata
226,Maruti Wagon R CNG LXI BSIV,434999,2018,52000,33.54,998,67.04,5,0,0,0,0,0,0,1,Maruti
227,Ford Figo Diesel ZXI,185000,2012,74000,20,1399,68.05,5,0,0,1,0,0,0,1,Ford
